,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6425,22654,6.7,93.4,93.4,4.2,6.6,16.0
6426,22655,5.7,87.3,86.1,2.7,12.7,1.2
6427,22656,3.7,90.6,89.6,1.0,9.4,2.0
6428,22657,7.4,85.2,83.8,1.6,14.8,3.1
6429,22660,10.0,92.4,87.2,7.4,7.6,2.8
6430,22663,3.7,52.5,52.5,2.2,47.5,5.7
6431,22664,12.1,82.9,78.0,6.6,17.1,5.8
6432,22701,11.2,83.7,81.0,3.6,16.3,1.9
6433,22709,13.2,77.0,74.5,2.4,23.0,4.9
6434,22711,0.0,100.0,100.0,0.0,0.0,9999999.99
6435,22712,5.2,83.4,82.2,2.4,16.6,2.1
6436,22713,0.0,88.1,88.1,2.2,11.9,4.7
6437,22714,6.8,81.1,81.1,6.3,18.9,5.8
6438,22715,7.9,96.4,94.7,1.7,3.6,7.6
6439,22716,5.3,63.8,60.7,3.1,36.2,14.3
6440,22718,3.8,93.9,93.9,0.0,6.1,8.4
6441,22719,10.2,74.0,74.0,0.0,26.0,23.0
6442,22720,4.6,86.6,86.6,4.6,13.4,10.3
6443,22722,0.0,84.7,84.7,0.0,15.3,16.2
6444,22723,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6445,22724,10.3,94.5,92.9,1.5,5.5,5.5
6446,22726,12.4,93.7,69.0,31.6,6.3,16.3
6447,22727,8.8,73.9,67.9,6.7,26.1,5.6
6448,22728,4.4,87.4,86.4,2.6,12.6,5.0
6449,22729,38.5,93.1,93.1,0.0,6.9,47.5
6450,22730,0.0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6451,22731,0.0,100.0,100.0,0.0,0.0,59.3
6452,22732,0.0,100.0,100.0,0.0,0.0,30.7
6453,22733,12.9,77.1,77.1,0.0,22.9,7.2
6454,22734,13.2,71.6,70.7,1.6,28.4,2.8
6455,22735,10.9,87.0,85.5,3.4,13.0,8.4
6456,22736,3.2,89.2,87.3,4.1,10.8,4.7
6457,22737,10.7,87.4,84.6,2.8,12.6,5.0
6458,22738,19.6,84.3,80.4,6.5,15.7,19.8
6459,22740,7.6,71.7,71.7,0.0,28.3,9.8
6460,22741,0.0,83.3,83.3,18.5,16.7,43.7
6461,22742,3.2,89.4,87.9,1.5,10.6,6.8
6462,22743,0.0,88.2,88.2,0.0,11.8,16.9
6463,22747,7.1,94.9,93.2,2.1,5.1,13.1
6464,22749,8.1,73.9,65.7,8.2,26.1,37.7
6465,22801,7.6,84.1,82.2,3.3,15.9,2.5
