Zipcode,MedianIncome
ZCTA5 02584,40385.00
ZCTA5 02601,61713.00
ZCTA5 02630,66389.00
ZCTA5 02631,64286.00
ZCTA5 02632,59545.00
ZCTA5 02633,68990.00
ZCTA5 02635,
ZCTA5 02637,60625.00
ZCTA5 02638,40142.00
ZCTA5 02639,132697.00
ZCTA5 02641,62091.00
ZCTA5 02642,
ZCTA5 02643,92054.00
ZCTA5 02644,69115.00
ZCTA5 02645,70096.00
ZCTA5 02646,124659.00
ZCTA5 02647,71067.00
ZCTA5 02648,65768.00
ZCTA5 02649,68446.00
ZCTA5 02650,
ZCTA5 02651,47039.00
ZCTA5 02652,58015.00
ZCTA5 02653,68965.00
ZCTA5 02655,41250.00
ZCTA5 02657,50897.00
ZCTA5 02659,51631.00
ZCTA5 02660,46429.00
ZCTA5 02663,50561.00
ZCTA5 02664,61408.00
ZCTA5 02666,45547.00
ZCTA5 02667,87303.00
ZCTA5 02668,103693.00
ZCTA5 02669,56000.00
ZCTA5 02670,42974.00
ZCTA5 02671,
ZCTA5 02672,57094.00
ZCTA5 02673,66064.00
ZCTA5 02675,87740.00
ZCTA5 02702,65141.00
ZCTA5 02703,32500.00
ZCTA5 02713,88631.00
ZCTA5 02715,87880.00
ZCTA5 02717,86023.00
ZCTA5 02718,60445.00
ZCTA5 02719,41576.00
ZCTA5 02720,30743.00
ZCTA5 02721,31255.00
ZCTA5 02723,27737.00
ZCTA5 02724,61875.00
ZCTA5 02725,75657.00
ZCTA5 02726,76607.00
ZCTA5 02738,78216.00
ZCTA5 02739,35174.00
ZCTA5 02740,69180.00
ZCTA5 02743,29663.00
ZCTA5 02744,49640.00
ZCTA5 02745,25872.00
ZCTA5 02746,71674.00
ZCTA5 02747,64808.00
ZCTA5 02748,81259.00
ZCTA5 02760,78516.00
ZCTA5 02762,107083.00
ZCTA5 02763,81067.00
ZCTA5 02764,80806.00
ZCTA5 02766,80019.00
ZCTA5 02767,85691.00
ZCTA5 02769,92656.00
ZCTA5 02770,74242.00
ZCTA5 02771,77434.00
ZCTA5 02777,84423.00
